Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2010,12,21,0,—,—,—,27.4,31.4,24.1,8.1,26.6
Changi,2010,12,22,12.4,—,—,—,26.6,30,24.1,7.5,25.9
Changi,2010,12,23,0,—,—,—,26.3,28.7,24.5,6.4,25.9
Changi,2010,12,24,0,—,—,—,26.8,31.1,24.1,8.9,35.3
Changi,2010,12,25,12.8,—,—,—,26.4,30.6,22.8,6.8,41.8
Changi,2010,12,26,0,—,—,—,27.1,31.3,23.5,9.5,40
Changi,2010,12,27,0,—,—,—,27.2,31,24.3,7.2,24.1
Changi,2010,12,28,1.8,—,—,—,25.3,26.2,23.9,7,23.8
Changi,2010,12,29,0,—,—,—,26.3,30.4,23.3,6.1,26.3
Changi,2010,12,30,0,—,—,—,25.6,27.2,23.8,7,28.4
Changi,2010,12,31,0,—,—,—,26.5,30.2,23.2,8.7,29.9
